Jet Kid Start blue ????? ??????? ????	Jet	????? ????	???????	???????????	2310 ???
BAND 6 FOREST GREEN FARA-B19 HUAWEI	Huawei	?????? ???????	???????	AMOLED	5480 ???
????? ???? GT 3 MIL-B19S BLACK HUAWEI	Huawei	????? ????	???????	???????????	21810 ???
????? ???? GT 3 MIL-B19V BROWN HUAWEI	Huawei	????? ????	??????????? ?????	AMOLED	21810 ???
GT RUNNER-B19S BLACK HUAWEI	Huawei	????? ????	???????	AMOLED	27770 ???
GT RUNNER-B19A GREY HUAWEI	Huawei	????? ????	???????	AMOLED	27770 ???
????? ???? GT 3 MIL-B19 GOLD HUAWEI	Huawei	????? ????	"??????????? ?????, ???????"	AMOLED	24230 ???
????? ???? WATCH 3 GALILEO-L11 STEEL	Huawei	????? ????	"??????, ????????"	AMOLED	32600 ???
????? ???? GT 3 JPT-B19V BROWN HUAWEI	Huawei	????? ????	"??????????? ?????, ???????"	AMOLED	24230 ???
FIT ELEGANT TIA-B29 MIDNIGHT BLACK	Huawei	????? ????	??????????? ?????	AMOLED	11460 ???
GT 2 MATTE BLACK LTN- B19 HUAWEI	Huawei	?????-????	"???????, ??????"	AMOLED	15850 ???
GT 2 PEBBLE BROWN LTN-B19 HUAWEI	Huawei	????? ????	"???????, ??????"	AMOLED	17070 ???
GT 2 PRO VID-B19 NEBULA GRAY HUAWEI	Huawei	?????-????	AMOLED	?????	27770 ???
GT 2 PRO VID-B19 NIGHT BLACK HUAWEI	Huawei	?????-????	?????	AMOLED	24230 ???
FIT ELEGANT TIA-B29 FROSTY WHITE HUAWEI	Huawei	????? ????	??????????? ?????	AMOLED	11460 ???
FIT TIA-B09 GRAPHITE BLACK HUAWEI	Huawei	????? ????	??????	AMOLED	9040 ???
KIDS 4 PRO ASN-AL10 BLUE HUAWEI	Huawei	?????-????	???????	AMOLED	15850 ???
KIDS 4 PRO ASN-AL10 PINK HUAWEI	Huawei	?????-????	???????	AMOLED	15850 ???
GT 2 NIGHT BLACK DIANA-B19S HUAWEI	Huawei	?????-????	"???????, ??????"	AMOLED	15850 ???
GT 3 JPT-B19S BLACK HUAWEI	Huawei	?????-????	"??????????? ?????, ???????"	AMOLED	24230 ???
FIT TIA-B09 DISTILLED BLUE HUAWEI	Huawei	????? ????	"???????, ??????"	AMOLED	9040 ???
FIT TIA-B09 SAKURA PINK HUAWEI	Huawei	????? ????	"???????, ??????"	AMOLED	9040 ???
???? Medisana ??????? ViFit Connect	Medisana	??????	???????	OLED	4580 ???
Canyon - CNS-SW82BB	Canyon	?????-????	TFT	???????????	4840 ???
FLY BLACK G-SM16BLK GEOZON	Geozon	?????-????	??????	TFT	3880 ???
Canyon - CNS-SW81BG	Canyon	?????-????	"???????, ??????"	IPS	4510 ???
MAGIC 2 BLACK 46MM MNS-B39 HONOR	Honor	????? ????	"???????, ??????"	AMOLED	11480 ???
BAND FIT PLUS RED G-SM14RED GEOZON	Geozon	?????? ???????	???????	TFT	3790 ???
Mi Smart Band 6	Xiaomi	?????? ???????	???????	AMOLED	4700 ???
Jet Kid Pinkie Pie	Jet	?????-????	???????	TFT	5140 ???
Jet Sport SW-4C 1.54	Jet	?????-????	??????	IPS	4600 ???
Jet Kid Optimus Prime	Jet	?????-????	???????	TFT	6050 ???
